"lon","lat","spatial_effect"
-85.3361344537815,25.9493670886076,0.662398866827753
-84.8403361344538,25.9493670886076,0.661732813679524
-84.344537815126,25.9493670886076,0.659128941746924
-83.8487394957983,25.9493670886076,0.656944779340807
-83.3529411764706,25.9493670886076,0.656171192291453
-82.8571428571429,25.9493670886076,0.654173559044079
-82.3613445378151,25.9493670886076,0.642688491421557
-81.8655462184874,25.9493670886076,0.60893002059616
-81.3697478991597,25.9493670886076,0.543341631336832
-80.8739495798319,25.9493670886076,0.446257057036397
-80.3781512605042,25.9493670886076,0.327143727704313
-79.8823529411765,25.9493670886076,0.199702664350148
-79.3865546218487,25.9493670886076,0.072702467737197
-78.890756302521,25.9493670886076,-0.0515549126868937
-78.3949579831933,25.9493670886076,-0.174180764532769
-77.8991596638655,25.9493670886076,-0.29663465470769
-77.4033613445378,25.9493670886076,-0.419991870731143
-76.9075630252101,25.9493670886076,-0.544930331363863
-76.4117647058823,25.9493670886076,-0.671805974793924
-75.9159663865546,25.9493670886076,-0.800725667797941
-75.4201680672269,25.9493670886076,-0.931608426133036
-74.9243697478992,25.9493670886076,-1.06423642850799
-74.4285714285714,25.9493670886076,-1.19829783554926
-73.9327731092437,25.9493670886076,-1.33342271036619
-73.436974789916,25.9493670886076,-1.46921273226796
-72.9411764705882,25.9493670886076,-1.60526511690708
-72.4453781512605,25.9493670886076,-1.74119109166387
-71.9495798319328,25.9493670886076,-1.87662935049249
-71.453781512605,25.9493670886076,-2.01125502525023
-70.9579831932773,25.9493670886076,-2.14478480161388
-70.4621848739496,25.9493670886076,-2.27697886496069
-69.9663865546218,25.9493670886076,-2.40764036002355
-69.4705882352941,25.9493670886076,-2.53661301479357
-68.9747899159664,25.9493670886076,-2.66377750819736
-68.4789915966387,25.9493670886076,-2.78904708181451
-67.9831932773109,25.9493670886076,-2.91236280563533
-67.4873949579832,25.9493670886076,-3.03368881760189
-66.9915966386555,25.9493670886076,-3.15300778031316
-66.4957983193277,25.9493670886076,-3.27031671881461
-66,25.9493670886076,-3.38562334791273
-125,26.2658227848101,3.62605460641382
-124.504201680672,26.2658227848101,3.49434837351326
-124.008403361345,26.2658227848101,3.35432368227509
-123.512605042017,26.2658227848101,3.2060514621952
-123.016806722689,26.2658227848101,3.04970180361477
-122.521008403361,26.2658227848101,2.88556680469433
-122.025210084034,26.2658227848101,2.71408714515593
-121.529411764706,26.2658227848101,2.53588045732691
-121.033613445378,26.2658227848101,2.35176806311679
-120.53781512605,26.2658227848101,2.16279520032638
-120.042016806723,26.2658227848101,1.97023890549743
-119.546218487395,26.2658227848101,1.77559777234562
-119.050420168067,26.2658227848101,1.58055920943286
-118.55462184874,26.2658227848101,1.38694270010026
-118.058823529412,26.2658227848101,1.19662147959933
-117.563025210084,26.2658227848101,1.01142912931359
-117.067226890756,26.2658227848101,0.833060658995665
-116.571428571429,26.2658227848101,0.662978724398744
-116.075630252101,26.2658227848101,0.502334313902298
-115.579831932773,26.2658227848101,0.35190808234143
-115.084033613445,26.2658227848101,0.212074869917291
-114.588235294118,26.2658227848101,0.0827914675771068
-114.09243697479,26.2658227848101,-0.036392456640043
-113.596638655462,26.2658227848101,-0.146298150059272
-113.100840336134,26.2658227848101,-0.24805108972229
-112.605042016807,26.2658227848101,-0.342977203875406
-112.109243697479,26.2658227848101,-0.432458237241813
-111.613445378151,26.2658227848101,-0.517750915214075
-111.117647058824,26.2658227848101,-0.599787353765552
-110.621848739496,26.2658227848101,-0.67898743397086
-110.126050420168,26.2658227848101,-0.755122116642812
-109.63025210084,26.2658227848101,-0.827265084813588
-109.134453781513,26.2658227848101,-0.893856892777353
