ZIP_CODE,LOG_TRANSACTION_AMT_2020,LOG_TRANSACTION_AMT_2022,lat,lon,prop_college_degree_or_higher_18plus,log_income,log_population,log_contrib_2020,log_contrib_2022,election_2020,election_2022,election_diff,state
56065,6.716594773520978,5.484796933490655,43.9331,-93.9542,0.2553723138430784,11.43963408239339,7.900266036767701,6.716594773520978,5.484796933490655,1,0,-1,MN
56069,5.5254529391317835,4.564348191467836,44.4356,-93.581,0.1887983171180647,11.375018800502191,8.484049972822984,5.5254529391317835,4.564348191467836,1,0,-1,MN
56071,7.613818684808629,6.493753839851686,44.5402,-93.5805,0.3153518345286353,11.658669479022935,9.465989834846651,7.613818684808629,6.493753839851686,1,0,-1,MN
56073,8.547916364059079,8.157370441186774,44.3044,-94.4644,0.2466681393122745,11.159815587195991,9.757015648635871,8.547916364059079,8.157370441186774,1,0,-1,MN
56082,10.687000893169545,10.145923797230747,44.3351,-93.9811,0.2708177044261065,11.176837154639884,9.582386570538903,10.687000893169545,10.145923797230747,1,0,-1,MN
56085,10.413342705547674,9.990169708671852,44.2821,-94.7273,0.1853732859319451,11.198214720130528,8.534443544822764,10.413342705547674,9.990169708671852,1,0,-1,MN
56093,6.838405200847344,7.506591780070841,44.0834,-93.5108,0.1898210406537705,11.198735132637651,9.431000842996585,6.838405200847344,7.506591780070841,1,0,-1,MN
56096,7.415175109613295,6.284134161070802,44.2238,-93.5751,0.2165206508135169,11.381437697007314,7.975564658495202,7.415175109613295,6.284134161070802,1,0,-1,MN
56101,5.860786223465865,6.621405651764134,43.88309999999999,-95.1373,0.252620320855615,11.252638042372888,8.700847193443972,5.860786223465865,6.621405651764134,1,0,-1,MN
56123,6.089044875446846,5.707110264748875,44.0946,-95.6953,0.1859756097560975,10.94641093534365,6.222576268071369,6.089044875446846,5.707110264748875,1,0,-1,MN
56150,7.313886831633462,3.5263605246161616,43.6545,-95.1848,0.1751386321626617,11.249532671748334,7.906547232368036,7.313886831633462,3.5263605246161616,1,0,-1,MN
56151,5.442417710521793,5.3981627015177525,44.0095,-95.9797,0.2007722007722007,11.214074586292245,6.61338421837956,5.442417710521793,5.3981627015177525,1,0,-1,MN
56164,8.311398278436641,7.8551570058813445,43.9893,-96.2652,0.2190847127555988,11.214532906153606,8.644354337032917,8.311398278436641,7.8551570058813445,1,0,-1,MN
56181,4.61512051684126,4.804021044733257,43.6705,-94.5886,0.1702786377708978,10.928632689322365,7.042286171939743,4.61512051684126,4.804021044733257,1,0,-1,MN
56187,6.963189985870238,6.234410725718371,43.6286,-95.6059,0.1649222065063649,11.071719183084294,9.636392113692736,6.963189985870238,6.234410725718371,1,0,-1,MN
56201,8.990441550826862,8.133587417660966,45.1393,-95.0523,0.2412428472110808,11.139017161766281,10.109484945015367,8.990441550826862,8.133587417660966,1,0,-1,MN
56215,6.740519359606223,5.942799375126701,45.3129,-95.5766,0.2597835137385512,10.943834933072262,8.469052816088302,6.740519359606223,5.942799375126701,1,0,-1,MN
56225,7.598399329323964,3.6635616461296463,45.4577,-96.4182,0.2787769784172662,11.471874277520614,6.690842277418564,7.598399329323964,3.6635616461296463,1,0,-1,MN
56236,7.055312843339752,3.713572066704308,45.6717,-96.4061,0.2025974025974026,11.286652020647091,5.700443573390687,7.055312843339752,3.713572066704308,1,0,-1,MN
56241,7.601402334583733,9.118882761487347,44.8087,-95.5516,0.1902439024390244,11.110580484198307,8.269500767180615,7.601402334583733,9.118882761487347,1,0,-1,MN
56248,5.303304908059076,5.303304908059076,45.8086,-96.1434,0.2179878048780487,11.326595886778735,6.52795791762255,5.303304908059076,5.303304908059076,1,0,-1,MN
56253,6.311734809152915,4.7535901911063645,44.966,-94.9014,0.1515650741350906,11.230443183476446,6.837332814685591,6.311734809152915,4.7535901911063645,1,0,-1,MN
56258,8.723394022000136,6.841615476477592,44.4481,-95.7795,0.3216617210682492,11.194522982538457,9.647304147143718,8.723394022000136,6.841615476477592,1,0,-1,MN
56266,7.030857476116121,5.655991810819852,44.3926,-94.9218,0.2060755336617405,11.211820372186306,7.31986492980897,7.030857476116121,5.655991810819852,1,0,-1,MN
56267,8.293049139768444,5.303304908059076,45.5921,-95.9172,0.2803527866391443,11.217775577670926,8.801920904041582,8.293049139768444,5.303304908059076,1,0,-1,MN
56283,7.029972911706386,4.189654742026425,44.5394,-95.1169,0.2508084074373484,11.102729182486163,8.765926513729443,7.029972911706386,4.189654742026425,1,0,-1,MN
56288,7.1316985104669115,8.041091003708633,45.2241,-94.9116,0.3383006535947712,11.617474651589642,8.438799123988225,7.1316985104669115,8.041091003708633,1,0,-1,MN
56301,9.907877900837422,9.850666776352545,45.541,-94.1819,0.2468610110274047,11.200158036147666,10.427801794482674,9.907877900837422,9.850666776352545,1,0,-1,MN
56303,9.455401958591324,8.526351129201004,45.5713,-94.2036,0.2818514007308161,11.085184072597636,10.214825114586255,9.455401958591324,8.526351129201004,1,0,-1,MN
56304,8.812992231969966,7.459338895220296,45.5521,-94.1284,0.2577635114959689,10.970746763546215,9.742144402127366,8.812992231969966,7.459338895220296,1,0,-1,MN
56308,9.707046787181289,9.367344120785848,45.8817,-95.382,0.3208681762660904,11.266730765625265,10.180778321920783,9.707046787181289,9.367344120785848,1,0,-1,MN
56320,7.154615356913663,5.0369526024136295,45.45,-94.4378,0.2978592330201756,11.373962203564496,8.985320060649112,7.154615356913663,5.0369526024136295,1,0,-1,MN
56324,6.329720905522696,4.912654885736052,46.1738,-95.9156,0.2095808383233532,11.325595386445151,6.907755278982137,6.329720905522696,4.912654885736052,1,0,-1,MN
56329,7.741099090035366,7.3938782901077555,45.6919,-93.9148,0.1905354919053549,11.437533592045453,8.937875265329263,7.741099090035366,7.3938782901077555,1,0,-1,MN
56334,8.055475141757274,7.730174795246222,45.6429,-95.38679999999998,0.2818777292576419,11.149441679102166,8.670772279344538,8.055475141757274,7.730174795246222,1,0,-1,MN
56342,5.484796933490655,4.7535901911063645,46.1696,-93.4741,0.1692763436309775,11.055561616070928,7.934155233536322,5.484796933490655,4.7535901911063645,1,0,-1,MN
56345,8.539737155851132,6.643789733147672,45.9811,-94.3604,0.2134135855546001,11.013303511711563,9.619664690410067,8.539737155851132,6.643789733147672,1,0,-1,MN
56352,6.0330862217988015,5.327876168789581,45.6582,-94.8198,0.1700130947184635,11.208042976531694,8.661293535389994,6.0330862217988015,5.327876168789581,1,0,-1,MN
56353,6.077642243349034,6.803505257608338,45.7795,-93.6453,0.1641649763353617,11.27419862242886,9.139273923542323,6.077642243349034,6.803505257608338,1,0,-1,MN
56367,8.71948076085107,5.153291594497779,45.7364,-94.1658,0.2368421052631578,11.530480470216114,8.876823763180603,8.71948076085107,5.153291594497779,1,0,-1,MN
56374,6.990256500493881,3.9318256327243257,45.5651,-94.3367,0.225685634891869,11.291730014874034,9.204624064980074,6.990256500493881,3.9318256327243257,1,0,-1,MN
56377,8.633018756921828,5.993961427306569,45.6318,-94.2136,0.3817830747719555,11.375638457415702,9.952896572793671,8.633018756921828,5.993961427306569,1,0,-1,MN
56378,7.63433723562832,6.856461984594587,45.7281,-94.9682,0.1855486173059768,11.192265552021242,9.008713664124222,7.63433723562832,6.856461984594587,1,0,-1,MN
56379,8.726481196440007,7.427144133408616,45.604,-94.1591,0.2728724617841661,11.24030276218934,9.768068665428393,8.726481196440007,7.427144133408616,1,0,-1,MN
56381,6.439350371100098,6.054439346269371,45.5926,-95.5421,0.189518263631551,11.253455009396003,7.828436359157585,6.439350371100098,6.054439346269371,1,0,-1,MN
56386,0.0,4.61512051684126,46.1121,-93.4972,0.139047619047619,10.907477757940512,6.483107351457199,0.0,4.61512051684126,1,0,-1,MN
56387,7.7226775164680035,6.111467339502679,45.5497,-94.2245,0.1975715524718126,10.985445253627333,8.950921764797261,7.7226775164680035,6.111467339502679,1,0,-1,MN
56401,9.671807670199632,8.343077871169383,46.35020000000001,-94.1,0.2298171816858113,11.199966609333655,10.32980049315713,9.671807670199632,8.343077871169383,1,0,-1,MN
56431,6.580639137284949,5.327876168789581,46.4799,-93.6454,0.2168118913377755,11.124730368027018,9.07829359105585,6.580639137284949,5.327876168789581,1,0,-1,MN
56435,7.327123292259293,6.066108090103747,46.8699,-94.3959,0.1659955257270693,11.041016020812398,7.861341795599989,7.327123292259293,6.066108090103747,1,0,-1,MN
56442,7.151485463904735,7.266128779556451,46.677299999999995,-94.11280000000001,0.3067846607669616,11.288481067922971,7.908387159290043,7.151485463904735,7.266128779556451,1,0,-1,MN
56447,4.61512051684126,3.713572066704308,46.7478,-93.9484,0.2471751412429378,11.073862207431128,6.915723448631314,4.61512051684126,3.713572066704308,1,0,-1,MN
56452,7.798112628829788,5.802118375377063,46.9884,-94.5033,0.2873239436619718,11.049953058639625,7.5595594960077,7.798112628829788,5.802118375377063,1,0,-1,MN
56465,7.332369205929062,5.707110264748875,46.5393,-94.1344,0.3147332354380812,11.217211220821182,7.7057128238944275,7.332369205929062,5.707110264748875,1,0,-1,MN
